model	sex	age	dir	ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
5xFAD	male	4 mo	ora_up	BP	GO:0002764	immune response-regulating signaling pathway	19/84	396/19457	4.68852030153101e-15	9.20228666455041e-13	5.742876541588222e-13	Clec7a/Psen1/App/Thy1/Slc15a3/Cd180/Tyrobp/Cd14/Trem2/C3ar1/Tlr13/Tlr2/Fyb/Cyba/Fcer1g/Laptm5/Ptprc/Lgals9/Nckap1l	19
5xFAD	male	4 mo	ora_up	BP	GO:0002274	myeloid leukocyte activation	16/84	246/19457	7.771745656233283e-15	1.3982665726506381e-12	8.726170561384738e-13	Cst7/Psen1/App/Cd48/Tyrobp/Slc11a1/Trem2/Tlr2/Cd84/C1qa/Itgb2/Fcer1g/Fcgr3/Lgals9/Dock2/Grn	16
5xFAD	male	4 mo	ora_up	BP	GO:0002443	leukocyte mediated immunity	19/84	440/19457	3.147450375502119e-14	5.227188739006981e-12	3.262134802139848e-12	Slamf9/Tyrobp/Slc11a1/Trem2/Lag3/C4b/Tlr2/Cd84/C1qa/C1qb/Itgb2/C1qc/Fcer1g/Fcgr3/Ptprc/Lgals9/B2m/Nckap1l/Vsir	19
5xFAD	male	4 mo	ora_up	BP	GO:0002366	leukocyte activation involved in immune response	16/84	281/19457	6.19090911347559e-14	9.547266268567e-12	5.958168169359966e-12	Ly9/Psen1/Cd180/Tyrobp/Slc11a1/Trem2/Cd84/Irf8/Itgb2/Fcer1g/Ptprc/Lgals9/Dock2/Grn/Nckap1l/Lcp1	16
5xFAD	male	4 mo	ora_up	BP	GO:0002250	adaptive immune response	19/84	460/19457	6.985171393611568e-14	1.0053990025871584e-11	6.274399567594952e-12	Pdcd1/Ly9/Cd48/Samsn1/Slc11a1/Trem2/C3ar1/Lag3/C4b/Cd84/C1qa/C1qb/C1qc/Fcer1g/Fcgr3/Ptprc/B2m/Nckap1l/Vsir	19
5xFAD	male	4 mo	ora_up	BP	GO:0097529	myeloid leukocyte migration	15/84	235/19457	7.67335466382851e-14	1.0354232949503596e-11	6.461772348487166e-12	Ccl3/Ccl6/Cxcl10/App/Ccl9/Trem2/C3ar1/Tlr2/Itgb2/Fcer1g/Fcgr3/Csf3r/Nckap1l/Cd9/Csf1r	15
5xFAD	male	4 mo	ora_up	BP	GO:0002253	activation of immune response	16/84	313/19457	3.2697421156364253e-13	4.15257248685826e-11	2.5914983950554948e-11	Clec7a/Psen1/Thy1/Tyrobp/Trem2/C3ar1/C4b/Tlr2/C1qa/Fyb/C1qb/C1qc/Fcer1g/Laptm5/Ptprc/Nckap1l	16
5xFAD	male	4 mo	ora_up	BP	GO:0002683	negative regulation of immune system process	18/84	445/19457	4.952899761638072e-13	5.940728102986998e-11	3.7074337397056915e-11	Cst7/Pdcd1/Thy1/Samsn1/Tyrobp/Cd68/Trem2/Lag3/Cd84/C1qc/Fcer1g/Parp14/Laptm5/Ptprc/Lgals9/Grn/Nckap1l/Vsir	18
5xFAD	male	4 mo	ora_up	BP	GO:0050766	positive regulation of phagocytosis	10/84	83/19457	2.4387662793520815e-12	2.636285151460898e-10	1.645228050934862e-10	Clec7a/Slc11a1/Trem2/C4b/Cyba/Fcer1g/Fcgr3/Ptprc/Dock2/Nckap1l	10
5xFAD	male	4 mo	ora_up	BP	GO:0050764	regulation of phagocytosis	11/84	115/19457	2.442135388106436e-12	2.636285151460898e-10	1.645228050934862e-10	Clec7a/Slc11a1/Trem2/C4b/Tlr2/Cyba/Fcer1g/Fcgr3/Ptprc/Dock2/Nckap1l	11
5xFAD	male	4 mo	ora_up	BP	GO:0097530	granulocyte migration	12/84	156/19457	3.163375935316021e-12	3.252251735403471e-10	2.0296346853155422e-10	Ccl3/Ccl6/Cxcl10/Ccl9/C3ar1/Tlr2/Itgb2/Fcer1g/Fcgr3/Csf3r/Nckap1l/Csf1r	12
5xFAD	male	4 mo	ora_up	BP	GO:0006909	phagocytosis	14/84	258/19457	5.072148605285988e-12	4.977622199460204e-10	3.106387662567495e-10	Clec7a/Tyrobp/Slc11a1/Trem2/C4b/Tlr2/Irf8/Itgb2/Cyba/Fcer1g/Fcgr3/Ptprc/Dock2/Nckap1l	14
5xFAD	male	4 mo	ora_up	BP	GO:0002237	response to molecule of bacterial origin	15/84	320/19457	6.691517901228894e-12	6.039007168357233e-10	3.7687668148008383e-10	Cxcl10/Cd180/Slc11a1/Cd14/Cd68/Trem2/Ly86/Tlr2/Cd84/Irf8/Irf5/Lgals9/Eif2ak2/B2m/Stat1	15
5xFAD	male	4 mo	ora_up	BP	GO:0071621	granulocyte chemotaxis	11/84	126/19457	6.713115888863993e-12	6.039007168357233e-10	3.7687668148008383e-10	Ccl3/Ccl6/Cxcl10/Ccl9/C3ar1/Itgb2/Fcer1g/Fcgr3/Csf3r/Nckap1l/Csf1r	11
5xFAD	male	4 mo	ora_up	BP	GO:1990266	neutrophil migration	11/84	127/19457	7.324347393499521e-12	6.325306409026187e-10	3.9474377531281633e-10	Ccl3/Ccl6/Cxcl10/Ccl9/C3ar1/Tlr2/Itgb2/Fcer1g/Fcgr3/Csf3r/Nckap1l	11
5xFAD	male	4 mo	ora_up	BP	GO:0030595	leukocyte chemotaxis	13/84	223/19457	1.2664725883067513e-11	1.05165935313626e-9	6.563096813897335e-10	Ccl3/Ccl6/Cxcl10/App/Slamf9/Ccl9/C3ar1/Itgb2/Fcer1g/Fcgr3/Csf3r/Nckap1l/Csf1r	13
5xFAD	male	4 mo	ora_up	BP	GO:0042116	macrophage activation	10/84	98/19457	1.3330408452171941e-11	1.0659389573421933e-9	6.652211625255393e-10	Cst7/App/Tyrobp/Slc11a1/Trem2/Tlr2/Cd84/C1qa/Lgals9/Grn	10
5xFAD	male	4 mo	ora_up	BP	GO:0030593	neutrophil chemotaxis	10/84	100/19457	1.6361818755006275e-11	1.2616130961449482e-9	7.873356393386478e-10	Ccl3/Ccl6/Cxcl10/Ccl9/C3ar1/Itgb2/Fcer1g/Fcgr3/Csf3r/Nckap1l	10
5xFAD	male	4 mo	ora_up	BP	GO:0031349	positive regulation of defense response	14/84	294/19457	2.922144425282229e-11	2.1754861428221836e-9	1.3576569380621611e-9	Clec7a/Ccl3/App/Tyrobp/Trem2/Lag3/Tlr2/Ctss/Cyba/Fcer1g/Fcgr3/Lgals9/Lpl/Grn	14
5xFAD	male	4 mo	ora_up	BP	GO:0002697	regulation of immune effector process	16/84	423/19457	3.106529321750143e-11	2.2356656018861863e-9	1.3952131690667306e-9	Tyrobp/Trem2/Lag3/C4b/Tlr2/Cd84/Itgb2/Fcer1g/Fcgr3/Laptm5/Ptprc/Lgals9/B2m/Grn/Nckap1l/Vsir	16
5xFAD	male	4 mo	ora_up	BP	GO:0061900	glial cell activation	8/84	49/19457	3.350986742975902e-11	2.3338001219628943e-9	1.4564560376941105e-9	Cst7/Psen1/App/Tyrobp/Trem2/Tlr2/C1qa/Grn	8
5xFAD	male	4 mo	ora_up	BP	GO:0019221	cytokine-mediated signaling pathway	15/84	383/19457	8.474593465565014e-11	5.717702278798395e-9	3.5682498802379003e-9	Ccl3/Ccl6/Cxcl10/Ccl9/Trem2/Oasl2/Fcer1g/Parp14/Irf5/Laptm5/Ptprc/Csf3r/Stat1/Ifi27/Csf1r	15
5xFAD	male	4 mo	ora_up	BP	GO:0009615	response to virus	14/84	325/19457	1.1032298477758157e-10	7.069775594562008e-9	4.4120390829279485e-9	Itgax/Cxcl10/Slfn8/Tlr13/Ifit3/Oasl2/Ifit3b/Wdfy4/Irf5/Ptprc/Lgals9/Eif2ak2/Stat1/Ifi27	14
5xFAD	male	4 mo	ora_up	BP	GO:0032675	regulation of interleukin-6 production	11/84	163/19457	1.1133504873325996e-10	7.069775594562008e-9	4.4120390829279485e-9	App/Tyrobp/Trem2/Tlr2/Cd84/Cyba/Fcer1g/Laptm5/Lgals9/Lpl/Nckap1l	11
5xFAD	male	4 mo	ora_up	BP	GO:0002703	regulation of leukocyte mediated immunity	13/84	269/19457	1.3182277281901778e-10	8.131581900464553e-9	5.074681179198278e-9	Tyrobp/Trem2/Lag3/Tlr2/Cd84/Itgb2/Fcer1g/Fcgr3/Ptprc/Lgals9/B2m/Nckap1l/Vsir	13
5xFAD	male	4 mo	ora_up	BP	GO:0002449	lymphocyte mediated immunity	14/84	333/19457	1.5195283580433222e-10	9.112949236154257e-9	5.6871236792264695e-09	Slc11a1/Trem2/Lag3/C4b/C1qa/C1qb/C1qc/Fcer1g/Fcgr3/Ptprc/Lgals9/B2m/Nckap1l/Vsir	14
5xFAD	male	4 mo	ora_up	BP	GO:0050866	negative regulation of cell activation	12/84	218/19457	1.6072669518108075e-10	9.378619862052794e-9	5.852920905598389e-9	Cst7/Samsn1/Tyrobp/Trem2/Lag3/Cd84/Laptm5/Lgals9/Grn/Nckap1l/Vsir/Cd9	12
5xFAD	male	4 mo	ora_up	BP	GO:0032635	interleukin-6 production	11/84	172/19457	1.9854785101343875e-10	1.1280652903631954e-8	7.039923803246582e-9	App/Tyrobp/Trem2/Tlr2/Cd84/Cyba/Fcer1g/Laptm5/Lgals9/Lpl/Nckap1l	11
5xFAD	male	4 mo	ora_up	BP	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	14/84	347/19457	2.6082002290435316e-10	1.443872896026919e-8	9.010786216398705e-9	Ly9/Slc11a1/Trem2/C3ar1/C4b/C1qa/C1qb/C1qc/Fcer1g/Fcgr3/Ptprc/B2m/Nckap1l/Vsir	14
5xFAD	male	4 mo	ora_up	BP	GO:0030099	myeloid cell differentiation	15/84	422/19457	3.2650954298749494e-10	1.762335258275004e-8	1.0998216184841933e-8	Ccl3/Psen1/App/Tyrobp/Trem2/Tlr2/Irf8/Hcls1/C1qc/Fcer1g/Csf3r/B2m/Nckap1l/Stat1/Csf1r	15
5xFAD	male	4 mo	ora_up	BP	GO:0042742	defense response to bacterium	13/84	292/19457	3.6242494174629026e-10	1.9084767054396112e-8	1.1910241988068077e-8	App/Slamf9/Slc11a1/Mpeg1/Trem2/Lyz2/Tlr2/Irf8/Cyba/Fcer1g/Lgals9/B2m/Grn	13
5xFAD	male	4 mo	ora_up	BP	GO:0060326	cell chemotaxis	13/84	298/19457	4.6508515494416497e-10	2.39075916553441e-8	1.4920025020765193e-8	Ccl3/Ccl6/Cxcl10/App/Slamf9/Ccl9/C3ar1/Itgb2/Fcer1g/Fcgr3/Csf3r/Nckap1l/Csf1r	13
5xFAD	male	4 mo	ora_up	BP	GO:0032496	response to lipopolysaccharide	13/84	299/19457	4.845629118845189e-10	2.432956573857387e-8	1.5183366639221155e-8	Cxcl10/Cd180/Slc11a1/Cd14/Cd68/Trem2/Ly86/Cd84/Irf8/Lgals9/Eif2ak2/B2m/Stat1	13
5xFAD	male	4 mo	ora_up	BP	GO:0150076	neuroinflammatory response	8/84	68/19457	5.141211813015058e-10	2.4815569509921676e-8	1.5486667303429828e-8	Cst7/Psen1/App/Tyrobp/Trem2/Tlr2/C1qa/Grn	8
5xFAD	male	4 mo	ora_up	BP	GO:0001774	microglial cell activation	7/84	42/19457	5.172304900168946e-10	2.4815569509921676e-8	1.5486667303429828e-8	Cst7/App/Tyrobp/Trem2/Tlr2/C1qa/Grn	7
5xFAD	male	4 mo	ora_up	BP	GO:0071216	cellular response to biotic stimulus	12/84	254/19457	9.2905001023058e-10	4.360476026277874e-8	2.7212448812245823e-8	Clec7a/Cxcl10/Cd180/Cd14/Cd68/Trem2/Ly86/Tlr2/Cd84/Irf8/B2m/Stat1	12
5xFAD	male	4 mo	ora_up	BP	GO:0002269	leukocyte activation involved in inflammatory response	7/84	46/19457	1.0120393013889572e-9	4.648920961061188e-8	2.901254884160952e-8	Cst7/App/Tyrobp/Trem2/Tlr2/C1qa/Grn	7
5xFAD	male	4 mo	ora_up	BP	GO:0032602	chemokine production	9/84	115/19457	1.6286649946158892e-9	7.325599423699385e-8	4.571691212956883e-8	App/Slamf9/Trem2/Tlr2/Cd84/Lgals9/Eif2ak2/Lpl/Csf1r	9
5xFAD	male	4 mo	ora_up	BP	GO:0002429	immune response-activating cell surface receptor signaling pathway	11/84	220/19457	2.7101634404981676e-9	1.1941311975582742e-7	7.452221705344048e-8	Clec7a/Psen1/Thy1/Tyrobp/C3ar1/Tlr2/Fyb/Fcer1g/Laptm5/Ptprc/Nckap1l	11
5xFAD	male	4 mo	ora_up	BP	GO:1903706	regulation of hemopoiesis	14/84	417/19457	2.8163317560441215e-9	1.2032254619822493e-7	7.508976335717213e-8	Ccl3/Tyrobp/Trem2/Lag3/Hcls1/C1qc/Ptprc/Lgals9/Csf3r/B2m/Nckap1l/Stat1/Vsir/Csf1r	14
5xFAD	male	4 mo	ora_up	BP	GO:0002757	immune response-activating signal transduction	11/84	221/19457	2.842264870824211e-9	1.2032254619822493e-7	7.508976335717213e-8	Clec7a/Psen1/Thy1/Tyrobp/C3ar1/Tlr2/Fyb/Fcer1g/Laptm5/Ptprc/Nckap1l	11
5xFAD	male	4 mo	ora_up	BP	GO:0002831	regulation of response to biotic stimulus	13/84	355/19457	3.886632796762876e-9	1.6137000400405862e-7	1.0070627489588018e-7	Clec7a/Cd180/Tyrobp/Trem2/Ly86/Lag3/Tlr2/Cd84/Cyba/Parp14/Lgals9/Grn/Stat1	13
5xFAD	male	4 mo	ora_up	BP	GO:0071219	cellular response to molecule of bacterial origin	11/84	229/19457	4.124820040525524e-9	1.68028046556502e-7	1.0486136349300239e-7	Cxcl10/Cd180/Cd14/Cd68/Trem2/Ly86/Tlr2/Cd84/Irf8/B2m/Stat1	11
5xFAD	male	4 mo	ora_up	BP	GO:0055094	response to lipoprotein particle	6/84	32/19457	4.473091801876214e-9	1.7415431313583733e-7	1.0868458634059227e-7	Cd68/Trem2/Itgb2/Fcer1g/Lpl/Cd9	6
5xFAD	male	4 mo	ora_up	BP	GO:0002699	positive regulation of immune effector process	12/84	292/19457	4.496307906224804e-9	1.7415431313583733e-7	1.0868458634059227e-7	Tyrobp/Trem2/Lag3/C4b/Tlr2/Cd84/Itgb2/Fcer1g/Fcgr3/Laptm5/Ptprc/B2m	12
5xFAD	male	4 mo	ora_up	BP	GO:0002768	immune response-regulating cell surface receptor signaling pathway	11/84	231/19457	4.5172031197808665e-9	1.7415431313583733e-7	1.0868458634059227e-7	Clec7a/Psen1/Thy1/Tyrobp/C3ar1/Tlr2/Fyb/Fcer1g/Laptm5/Ptprc/Nckap1l	11
5xFAD	male	4 mo	ora_up	BP	GO:0002221	pattern recognition receptor signaling pathway	10/84	181/19457	5.760554896761273e-9	2.1819364951065943e-7	1.361682413269516e-7	Clec7a/App/Slc15a3/Cd180/Cd14/Trem2/Tlr13/Tlr2/Cyba/Lgals9	10
5xFAD	male	4 mo	ora_up	BP	GO:0050777	negative regulation of immune response	10/84	183/19457	6.4031506981895105e-9	2.383517647826061e-7	1.4874832837899404e-7	Pdcd1/Samsn1/Trem2/Cd84/Parp14/Ptprc/Lgals9/Grn/Nckap1l/Vsir	10
5xFAD	male	4 mo	ora_up	BP	GO:0014002	astrocyte development	6/84	34/19457	6.593111250426365e-9	2.4126317270628005e-7	1.5056525246290362e-7	Psen1/App/Trem2/Gfap/C1qa/Grn	6
5xFAD	male	4 mo	ora_up	BP	GO:0032653	regulation of interleukin-10 production	7/84	61/19457	7.830782203080066e-9	2.761386726052245e-7	1.723300265399124e-7	Tyrobp/Trem2/Tlr2/Cd84/Fcer1g/Lgals9/Vsir	7
5xFAD	male	4 mo	ora_up	BP	GO:0048143	astrocyte activation	5/84	17/19457	7.897283555191344e-9	2.761386726052245e-7	1.723300265399124e-7	Psen1/App/Trem2/C1qa/Grn	5
5xFAD	male	4 mo	ora_up	BP	GO:0071402	cellular response to lipoprotein particle stimulus	6/84	35/19457	7.929873877500658e-9	2.761386726052245e-7	1.723300265399124e-7	Cd68/Trem2/Itgb2/Fcer1g/Lpl/Cd9	6
5xFAD	male	4 mo	ora_up	BP	GO:0032613	interleukin-10 production	7/84	63/19457	9.862213376152761e-9	3.3797648697006054e-7	2.1092118832874742e-7	Tyrobp/Trem2/Tlr2/Cd84/Fcer1g/Lgals9/Vsir	7
5xFAD	male	4 mo	ora_up	BP	GO:0002285	lymphocyte activation involved in immune response	10/84	192/19457	1.0150617576739706e-8	3.424247398153285e-7	2.1369721214188854e-7	Ly9/Psen1/Cd180/Slc11a1/Irf8/Fcer1g/Ptprc/Lgals9/Nckap1l/Lcp1	10
5xFAD	male	4 mo	ora_up	BP	GO:0050729	positive regulation of inflammatory response	9/84	142/19457	1.0529115000239376e-8	3.4972860439256633e-7	2.18255339276217e-7	Ccl3/App/Trem2/Tlr2/Ctss/Fcer1g/Fcgr3/Lpl/Grn	9
5xFAD	male	4 mo	ora_up	BP	GO:0002695	negative regulation of leukocyte activation	10/84	196/19457	1.23637573739635e-8	4.0444472985435146e-7	2.52402064412652e-7	Cst7/Samsn1/Tyrobp/Lag3/Cd84/Laptm5/Lgals9/Grn/Nckap1l/Vsir	10
5xFAD	male	4 mo	ora_up	BP	GO:1903131	mononuclear cell differentiation	14/84	473/19457	1.3941280974256461e-8	4.492421734838761e-7	2.8035883184679133e-7	Ly9/Psen1/Slamf9/Trem2/Lag3/Irf8/Fcer1g/Laptm5/Ptprc/Lgals9/Dock2/B2m/Nckap1l/Vsir	14
5xFAD	male	4 mo	ora_up	BP	GO:0000768	syncytium formation by plasma membrane fusion	7/84	67/19457	1.528818825418848e-8	4.783651947941005e-7	2.9853365317103366e-7	Cxcl10/Tyrobp/Trem2/Dock2/Cd53/Stat1/Cd9	7
5xFAD	male	4 mo	ora_up	BP	GO:0140253	cell-cell fusion	7/84	67/19457	1.528818825418848e-8	4.783651947941005e-7	2.9853365317103366e-7	Cxcl10/Tyrobp/Trem2/Dock2/Cd53/Stat1/Cd9	7
5xFAD	male	4 mo	ora_up	BP	GO:0032755	positive regulation of interleukin-6 production	8/84	104/19457	1.5805219052298135e-8	4.874781133415954e-7	3.0422075769837014e-7	App/Tyrobp/Tlr2/Cyba/Fcer1g/Laptm5/Lgals9/Lpl	8
5xFAD	male	4 mo	ora_up	BP	GO:0001906	cell killing	10/84	202/19457	1.6485611937628085e-8	5.013019179343527e-7	3.128477876970193e-7	Clec7a/Cxcl10/Tyrobp/Lyz2/Lag3/Fcgr3/Ptprc/Lgals9/B2m/Nckap1l	10
5xFAD	male	4 mo	ora_up	BP	GO:0006949	syncytium formation	7/84	69/19457	1.883564274274014e-8	5.648076761329994e-7	3.524798641916283e-7	Cxcl10/Tyrobp/Trem2/Dock2/Cd53/Stat1/Cd9	7
5xFAD	male	4 mo	ora_up	BP	GO:0051607	defense response to virus	11/84	268/19457	2.10685765050069e-8	6.2150683725486e-7	3.87864143578275e-7	Itgax/Cxcl10/Slfn8/Ifit3/Oasl2/Ifit3b/Irf5/Ptprc/Eif2ak2/Stat1/Ifi27	11
5xFAD	male	4 mo	ora_up	BP	GO:0032642	regulation of chemokine production	8/84	108/19457	2.1302226010588068e-8	6.2150683725486e-7	3.87864143578275e-7	App/Trem2/Tlr2/Cd84/Lgals9/Eif2ak2/Lpl/Csf1r	8
5xFAD	male	4 mo	ora_up	BP	GO:0140546	defense response to symbiont	11/84	269/19457	2.189083935116449e-8	6.301642954555217e-7	3.9326700869460415e-7	Itgax/Cxcl10/Slfn8/Ifit3/Oasl2/Ifit3b/Irf5/Ptprc/Eif2ak2/Stat1/Ifi27	11
5xFAD	male	4 mo	ora_up	BP	GO:0019882	antigen processing and presentation	8/84	111/19457	2.6440792595545538e-8	7.49670180096096e-7	4.678471175851407e-7	Slc11a1/Cd68/Trem2/Ctss/Wdfy4/Fcer1g/Fcgr3/B2m	8
5xFAD	male	4 mo	ora_up	BP	GO:0002687	positive regulation of leukocyte migration	9/84	158/19457	2.6736731758869566e-8	7.49670180096096e-7	4.678471175851407e-7	Cxcl10/App/Thy1/Trem2/C3ar1/Tlr2/Lgals9/Nckap1l/Csf1r	9
5xFAD	male	4 mo	ora_up	BP	GO:0045637	regulation of myeloid cell differentiation	10/84	213/19457	2.728561393745328e-8	7.552518011661748e-7	4.7133044318407825e-7	Ccl3/Tyrobp/Trem2/Hcls1/C1qc/Csf3r/B2m/Nckap1l/Stat1/Csf1r	10
5xFAD	male	4 mo	ora_up	BP	GO:0002819	regulation of adaptive immune response	10/84	216/19457	3.115003335365983e-8	8.513028102601466e-7	5.312730538665502e-7	Cd48/Samsn1/Slc11a1/Trem2/Fcer1g/Fcgr3/Ptprc/B2m/Nckap1l/Vsir	10
5xFAD	male	4 mo	ora_up	BP	GO:0016064	immunoglobulin mediated immune response	9/84	162/19457	3.321347584067065e-8	8.963486792500992e-7	5.593848562639267e-7	Trem2/C4b/C1qa/C1qb/C1qc/Fcer1g/Fcgr3/Ptprc/B2m	9
5xFAD	male	4 mo	ora_up	BP	GO:0071222	cellular response to lipopolysaccharide	10/84	219/19457	3.549022456999711e-8	9.45967837612639e-7	5.903507140948188e-7	Cxcl10/Cd180/Cd14/Cd68/Trem2/Ly86/Cd84/Irf8/B2m/Stat1	10
5xFAD	male	4 mo	ora_up	BP	GO:0070661	leukocyte proliferation	12/84	354/19457	3.8105721273838014e-8	1.0032957589050764e-6	6.261273842171072e-7	Cd180/Tyrobp/Slc11a1/Trem2/Itgb2/Laptm5/Ptprc/Lgals9/Dock2/Nckap1l/Vsir/Csf1r	12
5xFAD	male	4 mo	ora_up	BP	GO:0019724	B cell mediated immunity	9/84	165/19457	3.8932833236219633e-8	1.0127227344216648e-6	6.320104824649478e-7	Trem2/C4b/C1qa/C1qb/C1qc/Fcer1g/Fcgr3/Ptprc/B2m	9
5xFAD	male	4 mo	ora_up	BP	GO:0001818	negative regulation of cytokine production	11/84	288/19457	4.402579561050811e-8	1.1315677705129406e-6	7.061781752061452e-7	Tyrobp/Slc11a1/Trem2/Lag3/Tlr2/Cd84/Laptm5/Ptprc/Lgals9/Nckap1l/Vsir	11
5xFAD	male	4 mo	ora_up	BP	GO:0021782	glial cell development	8/84	121/19457	5.203857939026271e-8	1.3064103825997348e-6	8.152923086846544e-7	Psen1/App/Trem2/Gfap/Tlr2/C1qa/Grn/Csf1r	8
5xFAD	male	4 mo	ora_up	BP	GO:0032612	interleukin-1 production	8/84	121/19457	5.203857939026271e-8	1.3064103825997348e-6	8.152923086846544e-7	Ccl3/App/Slamf9/Tyrobp/Trem2/Tlr2/Lgals9/Lpl	8
5xFAD	male	4 mo	ora_up	BP	GO:0032722	positive regulation of chemokine production	7/84	81/19457	5.82319488634782e-8	1.4450893976580395e-6	9.018378045402553e-7	App/Tlr2/Cd84/Lgals9/Eif2ak2/Lpl/Csf1r	7
5xFAD	male	4 mo	ora_up	BP	GO:0002224	toll-like receptor signaling pathway	8/84	123/19457	5.915141047471926e-8	1.4512260819877146e-6	9.056675287995294e-7	App/Cd180/Cd14/Trem2/Tlr13/Tlr2/Cyba/Lgals9	8
5xFAD	male	4 mo	ora_up	BP	GO:0002685	regulation of leukocyte migration	10/84	232/19457	6.110266839952137e-8	1.4822546188153555e-6	9.250315263321981e-7	Cxcl10/App/Thy1/Trem2/C3ar1/Tlr2/Lgals9/Nckap1l/Cd9/Csf1r	10
5xFAD	male	4 mo	ora_up	BP	GO:0002573	myeloid leukocyte differentiation	10/84	233/19457	6.362105493036721e-8	1.5261984177184753e-6	9.524555591914623e-7	Ccl3/Psen1/App/Tyrobp/Trem2/Tlr2/Hcls1/C1qc/Fcer1g/Csf1r	10
5xFAD	male	4 mo	ora_up	BP	GO:0098883	synapse pruning	4/84	10/19457	6.654584512090608e-8	1.5788184573190794e-6	9.85294178771079e-7	Trem2/C1qa/C1qb/C1qc	4
