Study	Tissue	ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
MAYO	CBE	BP	GO:0098609	cell-cell adhesion	209	0.47977332282462537	3.0147343004913436	1e-10	8.134615384615385e-9	5.793522267206478e-9	913	tags=45%, list=17%, signal=39%	S100A9/S100A8/MMRN1/CCL2/CYP1B1/PCDH18/ADORA2A/PDLIM1/CD93/RAC2/PTPRC/HSPH1/FOXJ1/COL19A1/VSIG4/ICAM1/ZBTB16/CNTN5/ITGB2/PCDHAC2/MPZL2/TGFBR2/PECAM1/UBASH3B/SIGLEC1/CD84/CD86/KLF4/DSP/CITED2/RET/PCDHGC4/ALOX5/PCDHA12/CLIC1/HSPB1/ITGA10/LRRC32/SASH3/IL4R/ADGRV1/CELSR1/ESAM/TGFB2/SPN/AMIGO2/S100A11/PIK3CA/MAP3K8/AQP4/PCDHB3/ICAM2/PCDHGA12/NFAT5/CEBPB/CHST2/PCDHGC3/ZDHHC2/PEAR1/PCDHGB5/PNP/PCDHA3/LAPTM5/DUSP3/ZFP36L1/SOX4/PCDHA11/VAV1/ITGAM/PTAFR/CD300A/ZBTB1/TJP3/PCDHGA9/PARVA/CDH18/FOXF1/ITGA5/FLRT3/ETS1/MYOT/LAMA3/GPC4/PLEK/CD160/IL1RAPL1/FLNA/BTN2A2/PCDHA4/JAK1/FUT9/FADD/KITLG/IL27RA/TGFB1
MAYO	CBE	CC	GO:0009897	external side of plasma membrane	60	0.6138090772789203	2.9910469163636324	1e-10	8.134615384615385e-9	5.793522267206478e-9	1053	tags=70%, list=19%, signal=57%	CD163/GLRA1/PTPRC/SERPINA5/ICAM1/FCER1G/CCR1/THBD/CSF2RB/ITGB2/TGFBR2/CA4/FOLR2/CD84/CD86/SEMA7A/ABCC4/ITGA10/FAS/IL4R/OSMR/SPN/AQP4/CSF3R/ANPEP/TLR4/EPHA5/CLEC2B/ITGAM/ITGA5/P2RX7/BTN2A1/GPC4/BTN2A2/CTSK/IL27RA/CLEC14A/ABCG1/TGFBR3/KCNJ3/ITGAV/B2M
MAYO	CBE	BP	GO:0007155	cell adhesion	335	0.44111034089399753	2.954865263592153	1e-10	8.134615384615385e-9	5.793522267206478e-9	978	tags=42%, list=18%, signal=37%	S100A9/S100A8/MMRN1/LYVE1/CCL2/CYP1B1/PCDH18/ANGPT2/ADORA2A/PDLIM1/CD93/RAC2/PTPRC/HSPH1/FOXJ1/MYBPH/COL19A1/VSIG4/SERPINE1/ICAM1/ZBTB16/GPR4/TGFBI/CCR1/NDNF/SIGLEC9/NUAK1/CNTN5/ITGB2/SPP1/TPBG/PCDHAC2/MPZL2/TGM2/TGFBR2/PECAM1/MMRN2/UBASH3B/ACER2/SIGLEC1/MKLN1/FOLR2/CD84/CD86/KLF4/DSP/CITED2/RET/PCDHGC4/ALOX5/PCDHA12/CLIC1/HSPB1/ITGA10/STAB1/APC/LRRC32/SASH3/IL4R/ADGRV1/EPHB4/COL6A3/CELSR1/ESAM/TGFB2/SPN/AMIGO2/S100A11/PIK3CA/MAP3K8/AQP4/PCDHB3/ICAM2/TNFRSF12A/PCDHGA12/NFAT5/CSF3R/SPON1/CEBPB/CHST2/PCDHGC3/ZDHHC2/PEAR1/PCDHGB5/PNP/SMAD6/OPCML/FBLN5/EPHA2/PCDHA3/LAPTM5/DUSP3/ZFP36L1/CNTNAP5/SOX4/SPON2/PCDHA11/DUSP1/VAV1/ITGAM/ANOS1/PTAFR/FLRT1/ANGPT1/CD300A/ZBTB1/TJP3/ISLR/PPP1R12A/PCDHGA9/PARVA/CDH18/FOXF1/ITGA5/FLRT3/ETS1/MYOT/LAMA3/GPC4/PLEK/CD160/IL1RAPL1/FLNA/BTN2A2/PCDHA4/FES/JAK1/IGFBP7/FUT9/FADD/ACVRL1/ST6GAL1/KITLG/IL27RA/TGFB1/PRKCE/EZR/EDIL3/PCDHB13/RASA1
MAYO	CBE	BP	GO:0050776	regulation of immune response	202	0.47151229633946967	2.9528143987468085	1e-10	8.134615384615385e-9	5.793522267206478e-9	1206	tags=49%, list=22%, signal=39%	FCGR3B/FPR1/HSP90AA1/HSPA1A/C7/TLR7/RAC2/PTPRC/C1QB/C3AR1/FOXJ1/VSIG4/C1QC/FCER1G/PLA2G4A/TLR1/ITGB2/MNDA/FCGR2A/PIK3AP1/KLHL6/SAMSN1/C1QA/TLR6/COCH/CMKLR1/PLCL2/CD84/CD86/CTSS/BIRC3/CFI/SASH3/IL4R/TLR5/TGFB2/SPN/VAMP8/PIK3CA/PVRIG/NFKBIA/TP53BP1/TRIM5/CFH/TLR4/CYBA/SLAMF8/LY96/LAPTM5/DUSP3/ADCY7/LCP2/VAV1/ITGAM/CLPB/TNIP2/PTAFR/CD300A/NCR3LG1/ZBTB1/FOXF1/FGR/EXOSC3/NFAM1/P2RX7/PRKCB/BTN2A1/CD160/BTN2A2/FES/SMCR8/RAB29/MAP2K6/FADD/MED1/IL27RA/LAT2/LRRC14/TGFB1/RHBDF2/PRKCE/EZR/PIK3CD/LIME1/IKBKE/HLA-B/BIRC2/IFIH1/STXBP2/B2M/RBM14/RC3H2/PRKCZ/TIFA/USP18/SAMHD1/GPLD1/PLCG1
MAYO	CBE	BP	GO:0001816	cytokine production	175	0.4799702420205204	2.9511181432926934	1e-10	8.134615384615385e-9	5.793522267206478e-9	1053	tags=47%, list=19%, signal=39%	SRGN/HSP90AA1/HGF/CYP1B1/HSPA1A/CHI3L1/ALOX15B/TLR7/PTPRC/C3AR1/PTGS2/FOXJ1/VSIG4/SERPINE1/FCER1G/TLR1/MNDA/S1PR3/TLR6/HILPDA/BST2/CMKLR1/CYBB/PLD4/AKAP12/CD84/CD86/PANX1/KLF4/SEMA7A/ALOX5/HSPB1/AFAP1L2/TRIM32/HSP90AB1/LRRC32/SASH3/IL4R/TLR5/RORA/TGFB2/SPN/AQP4/NFAT5/CEBPB/SPHK1/TLR4/CYBA/BCL3/PNP/LY96/EPHA2/LAPTM5/BCL6B/ADCY7/SPON2/PTAFR/ANGPT1/TSKU/RELB/FGR/NFAM1/P2RX7/F2R/ARRB1/BTN2A1/ACKR1/CD160/GPSM3/KPNA6/DDX21/BTN2A2/FADD/IL27RA/TGFB1/EZR/PIK3CD/REL/HLA-B/IFIH1/ITGAV/B2M
MAYO	CBE	BP	GO:0001817	regulation of cytokine production	174	0.4773779327484333	2.9383095221639186	1e-10	8.134615384615385e-9	5.793522267206478e-9	1053	tags=47%, list=19%, signal=39%	SRGN/HSP90AA1/HGF/CYP1B1/HSPA1A/CHI3L1/ALOX15B/TLR7/PTPRC/C3AR1/PTGS2/FOXJ1/VSIG4/SERPINE1/FCER1G/TLR1/MNDA/S1PR3/TLR6/HILPDA/BST2/CMKLR1/CYBB/PLD4/AKAP12/CD84/CD86/PANX1/KLF4/SEMA7A/ALOX5/HSPB1/AFAP1L2/TRIM32/HSP90AB1/LRRC32/SASH3/IL4R/TLR5/RORA/TGFB2/SPN/AQP4/CEBPB/SPHK1/TLR4/CYBA/BCL3/PNP/LY96/EPHA2/LAPTM5/BCL6B/ADCY7/SPON2/PTAFR/ANGPT1/TSKU/RELB/FGR/NFAM1/P2RX7/F2R/ARRB1/BTN2A1/ACKR1/CD160/GPSM3/KPNA6/DDX21/BTN2A2/FADD/IL27RA/TGFB1/EZR/PIK3CD/REL/HLA-B/IFIH1/ITGAV/B2M
MAYO	CBE	CC	GO:0031226	intrinsic component of plasma membrane	356	0.4332668494707618	2.9246468738886295	1e-10	8.134615384615385e-9	5.793522267206478e-9	1038	tags=46%, list=19%, signal=40%	FCGR3B/CD163/MRC1/AQP9/LYVE1/KCNA3/GLRA1/SLC5A3/PCDH18/ADORA2A/C7/RGS7BP/NCF2/KCNH7/RAC2/PTPRC/OPRK1/C3AR1/SLCO4A1/ICAM1/GJA4/ADGRG6/FCER1G/GPR4/CCR1/THBD/SIGLEC9/GPR22/HRH1/TLR1/CNTN5/CSF2RB/ITGB2/FCGR2A/TPBG/PCDHAC2/S1PR3/TACR2/TGM2/TLR6/SLC6A5/TGFBR2/GABRE/SCN5A/CA4/PECAM1/CMKLR1/GJA5/CYBB/FOLR2/CD84/MET/KCNG2/SLC1A5/KCNH1/ADRA1D/RET/PCDHGC4/SEMA7A/GPR34/HTR1A/TM4SF1/PCDHA12/ITGA10/STAB1/LRRC55/LRRC32/CD53/IL4R/HTR5A/EPHB4/TLR5/OSMR/GPR6/STEAP1/LILRB3/SLC38A2/GABRB1/SPN/ADGRL4/KCNA2/HRH2/AQP4/PCDHB3/SLC39A12/SSTR2/ICAM2/PCDHGA12/CSF3R/SLC12A2/FLT1/PCDHGC3/ZDHHC2/KCNS1/TLR4/CYBA/PCDHGB5/EPHA6/BSND/LY96/EPHA5/RAMP3/EPHA2/CLEC1A/ASIC4/PCDHA3/LAPTM5/SLCO2A1/OLFM3/CLEC2B/ADCY7/SLC52A3/KCNJ8/CALM1/NCF4/PCDHA11/ADRB2/SLC39A14/ITGAM/PTAFR/FLRT1/PCDHGA9/AKAP9/ITGA5/KCNK2/FLRT3/CACNG2/P2RX7/KTN1/CD37/F2R/ADGRD1/FXYD3/SSTR1/BTN2A1/GRIN2A/BMPR2/GLRA2/SYT13/GPC4/SLC12A7/CLCN4/CD160/FLNA/PCDHA4/ITPR3/ACVRL1/TSPAN17/SLC16A4/IL27RA/SEMA3F/KCND3/SPTB/PCDHB13/TGFBR3/KCNJ3/IGSF6/HLA-B/KCNB1/BIRC2/PCDHB12/SLC29A1/GPR75/ITGAV/ABCC9
MAYO	CBE	BP	GO:0002694	regulation of leukocyte activation	115	0.5233515874015766	2.921146927323662	1e-10	8.134615384615385e-9	5.793522267206478e-9	913	tags=50%, list=17%, signal=43%	CCL2/ADORA2A/RAC2/PTPRC/HSPH1/FOXJ1/VSIG4/ZBTB16/PLA2G4A/ITGB2/MNDA/SAMSN1/TLR6/TGFBR2/CD84/CD86/CDKN1A/IL15RA/LRRC32/SASH3/IL4R/RORA/SPN/VAMP8/PIK3CA/MAP3K8/TP53BP1/CEBPB/SPHK1/CTSC/TLR4/PNP/SLAMF8/LAPTM5/DUSP3/ZFP36L1/SOX4/VAV1/ITGAM/TNIP2/PTAFR/CD300A/ZBTB1/FOXF1/LMO1/FGR/EXOSC3/NFAM1/SH3KBP1/ADGRF5/CD160/CAMK4/BTN2A2/FES/FADD/KITLG/IL27RA/TGFB1
MAYO	CBE	BP	GO:0007159	leukocyte cell-cell adhesion	86	0.5508700458692831	2.915468277749007	1e-10	8.134615384615385e-9	5.793522267206478e-9	938	tags=50%, list=17%, signal=42%	S100A9/S100A8/CCL2/ADORA2A/RAC2/PTPRC/HSPH1/FOXJ1/VSIG4/ICAM1/ZBTB16/ITGB2/TGFBR2/PECAM1/CD86/KLF4/ALOX5/LRRC32/SASH3/IL4R/SPN/PIK3CA/MAP3K8/NFAT5/CEBPB/CHST2/PNP/LAPTM5/DUSP3/SOX4/VAV1/PTAFR/CD300A/ZBTB1/ITGA5/ETS1/CD160/BTN2A2/FUT9/FADD/KITLG/IL27RA/EZR
MAYO	CBE	CC	GO:0005887	integral component of plasma membrane	337	0.43158695421340476	2.897927398476193	1e-10	8.134615384615385e-9	5.793522267206478e-9	1038	tags=46%, list=19%, signal=40%	FCGR3B/CD163/MRC1/AQP9/LYVE1/KCNA3/GLRA1/SLC5A3/PCDH18/ADORA2A/C7/NCF2/KCNH7/RAC2/PTPRC/OPRK1/C3AR1/SLCO4A1/ICAM1/GJA4/ADGRG6/FCER1G/GPR4/CCR1/THBD/SIGLEC9/GPR22/HRH1/TLR1/CSF2RB/ITGB2/FCGR2A/TPBG/PCDHAC2/S1PR3/TACR2/TLR6/SLC6A5/TGFBR2/GABRE/SCN5A/PECAM1/CMKLR1/GJA5/CYBB/CD84/MET/KCNG2/SLC1A5/KCNH1/ADRA1D/RET/PCDHGC4/SEMA7A/GPR34/HTR1A/TM4SF1/PCDHA12/ITGA10/STAB1/LRRC55/LRRC32/CD53/IL4R/HTR5A/EPHB4/TLR5/OSMR/GPR6/STEAP1/LILRB3/SLC38A2/GABRB1/SPN/ADGRL4/KCNA2/HRH2/AQP4/PCDHB3/SLC39A12/SSTR2/ICAM2/PCDHGA12/CSF3R/SLC12A2/FLT1/PCDHGC3/ZDHHC2/KCNS1/TLR4/CYBA/PCDHGB5/EPHA6/BSND/EPHA5/RAMP3/EPHA2/CLEC1A/ASIC4/PCDHA3/LAPTM5/SLCO2A1/OLFM3/CLEC2B/ADCY7/SLC52A3/KCNJ8/CALM1/NCF4/PCDHA11/ADRB2/SLC39A14/ITGAM/PTAFR/FLRT1/PCDHGA9/AKAP9/ITGA5/KCNK2/FLRT3/CACNG2/P2RX7/KTN1/CD37/F2R/ADGRD1/FXYD3/SSTR1/BTN2A1/GRIN2A/BMPR2/GLRA2/SYT13/SLC12A7/CLCN4/FLNA/PCDHA4/ITPR3/ACVRL1/TSPAN17/SLC16A4/IL27RA/SEMA3F/KCND3/PCDHB13/TGFBR3/KCNJ3/IGSF6/HLA-B/KCNB1/BIRC2/PCDHB12/SLC29A1/GPR75/ITGAV/ABCC9
MAYO	CBE	BP	GO:0002682	regulation of immune system process	328	0.4296986292308383	2.8709076510139186	1e-10	8.134615384615385e-9	5.793522267206478e-9	1130	tags=43%, list=21%, signal=36%	FCGR3B/FPR1/LYVE1/HSP90AA1/CCL2/ADORA2A/HSPA1A/C7/TLR7/RAC2/PTPRC/C1QB/C3AR1/HSPH1/FOXJ1/VSIG4/SERPINE1/ICAM1/ZBTB16/C1QC/FCER1G/CCR1/PLA2G4A/TLR1/ITGB2/MNDA/FCGR2A/PIK3AP1/KLHL6/SAMSN1/C1QA/TLR6/COCH/TGFBR2/BST2/CMKLR1/UBASH3B/PLCL2/CD84/CD86/PANX1/CTSS/CDKN1A/IL15RA/SEMA7A/BIRC3/LRRC32/CFI/SASH3/IL4R/TLR5/LILRB3/RORA/TGFB2/SPN/VAMP8/PIK3CA/MAP3K8/PVRIG/NFKBIA/CSF3R/TP53BP1/TRIM5/CFH/CEBPB/CHST2/SPHK1/CTSC/TLR4/CYBA/PNP/SLAMF8/LY96/LAPTM5/DUSP3/ZFP36L1/BCL6B/ADCY7/SOX4/LCP2/SPON2/DUSP1/VAV1/ITGAM/CLPB/TNIP2/PTAFR/ANGPT1/MYC/CD300A/NCR3LG1/ZBTB1/FOXF1/LMO1/FGR/EXOSC3/NFAM1/P2RX7/ETS1/PRKCB/SH3KBP1/BTN2A1/ADGRF5/CD160/GPSM3/CAMK4/ZNF675/DDX21/BTN2A2/FES/SMCR8/RAB29/MAP2K6/FUT9/FADD/KITLG/MED1/IL27RA/LAT2/LRRC14/TGFB1/RHBDF2/PRKCE/EZR/PIK3CD/LIME1/SMAP1/IKBKE/HLA-B/BIRC2/IFIH1/STXBP2/B2M/RBM14/BRPF3/LEO1/RC3H2/PRKCZ/STK10/TIFA
