model	sex	age	ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
5xFAD	female	4 mo	BP	GO:0050896	response to stimulus	405	0.5485655609926274	1.4832374436537865	1.3091202631092488e-6	1.8637112109355308e-4	1.75133983524089e-4	283	tags=56%, list=48%, signal=93%	Cst7/Itgax/Mmp12/Clec7a/Pdcd1/Tnfsf8/Hcar2/Ccl3/Ccl4/Or5v1b/Ccl6/Asb10/Gpr65/Ly9/Rgs1/Or5v1/F9/Trim30b/Pilra/Cd22/Psen1/Cd52/Lilrb4a/Osm/Fgr/Gm5431/Bcl2a1b/H2-Oa/Oas3/Cd48/Cd180/Serpinf2/Trem2/Cyp26a1/Slamf9/Tyrobp/Ifi206/Slc15a3/Ifi204/Mpeg1/Slamf8/App/Ch25h/Ly86/Ifi209/Slc11a1/Irf8/F830016B08Rik/Thy1/Lag3/Lyz2/Ifi27l2a/Cd68/Cybb/Gpr84/Zbp1/H2-Ob/Gfap/Rasal3/Oas1a/Myo1f/Ifi207/C3ar1/Cd84/Tlr2/Iqgap3/Haao/Itgb2/Lpar5/Cd14/Cnr2/Ptpn6/Hvcn1/Fcgr2b/Csf3r/Abi3/Ctss/C4b/C1qb/Fcrls/Lat2/Fcer1g/C1qc/Plaur/C1qa/Klhl6/Cd37/Laptm5/Casp4/Ptprc/Hk3/Ccl9/Trim30d/Vav1/Nlrc5/Oas2/Mx1/Slfn9/Naip6/Samsn1/Naip2/Plau/P2ry6/Fcgr3/Ifi44/Runx1/C5ar1/Bst2/H2-Q7/Serpina3n/Wdfy4/Tlr13/Hcls1/Capg/Tlr1/Mlxipl/Havcr2/Cyba/Tlr7/Cd86/Ticam2/Sp110/Siglec1/Dock2/Plek/Ncf2/Naip5/Arhgap45/Nlrp3/Fcgr1/Rab7b/Spi1/Olfml3/Btk/Rtp4/Csf2rb/Ncf1/Apbb1ip/H2-Q6/Vmn2r1/Irf7/Uba7/Rac2/Hpgd/H2-DMb1/Grn/Nckap1l/Alox5/Gpr34/Lox/Was/Cd9/Pik3ap1/Hhex/Pld4/Lsp1/Csf1r/Trim30a/Pik3cg/Gngt2/Ang/Dock8/B2m/Cd74/Cebpa/Apobec1/Il1rl2/Cyth4/Il21r/Lcp2/Clec5a/Elf4/Sh3bp2/Gna15/9930111J21Rik1/Aif1/Gpr183/Top2a/Fes/Tifab/Dok1/Fyb/Cxcl16/H2-Q4/Gpnmb/Rigi/Irf5/C3/Hck/Ctsh/H2-Ab1/Tgfb1/Unc93b1/Inpp5d/Vsir/Il10ra/Anxa3/Lgals9/Hk2/Rnase4/Fermt3/Parp14/Tnfaip8l2/Itgam/Rnf213/Il3ra/Lpl/Ifitm3/Arhgap30/Igtp/Uhrf1/Tgfbr2/Ctsc/Cx3cr1/Tgfbr1/Apobec3/H2-K1/Gsdmd/Cd274/Adgre1/Osmr/Cmklr1/Blnk/Capn3/Parp9/Cybrd1
5xFAD	female	4 mo	BP	GO:0098542	defense response to other organism	137	0.5694524566273591	1.5208175272484885	2.562382008855363e-6	3.343908521556249e-4	3.1422895161226295e-4	171	tags=53%, list=29%, signal=49%	Itgax/Mmp12/Clec7a/Tnfsf8/Ccl3/Ccl4/Ccl6/Ly9/Trim30b/Fgr/Oas3/Cd180/Trem2/Slamf9/Tyrobp/Ifi206/Slc15a3/Ifi204/Mpeg1/Slamf8/App/Ch25h/Ly86/Ifi209/Slc11a1/Irf8/Lag3/Lyz2/Cybb/Zbp1/Oas1a/Myo1f/Ifi207/Cd84/Tlr2/Cd14/Ptpn6/C1qb/Fcer1g/C1qc/C1qa/Cd37/Casp4/Ptprc/Ccl9/Trim30d/Vav1/Nlrc5/Oas2/Mx1/Slfn9/Naip6/Naip2/C5ar1/Bst2/H2-Q7/Tlr13/Capg/Tlr1/Havcr2/Cyba/Tlr7/Cd86/Ticam2/Sp110/Naip5/Nlrp3/Fcgr1/Rab7b/Spi1/Btk/Rtp4/Ncf1
5xFAD	female	4 mo	BP	GO:0006950	response to stress	248	0.5265083390541745	1.4265095620154202	5.703090667036611e-6	6.870030757368718e-4	6.455806277341848e-4	209	tags=48%, list=35%, signal=53%	Cst7/Itgax/Mmp12/Clec7a/Tnfsf8/Ccl3/Ccl4/Ccl6/Ly9/F9/Trim30b/Psen1/Lilrb4a/Osm/Fgr/Gm5431/Bcl2a1b/Oas3/Cd180/Serpinf2/Trem2/Slamf9/Tyrobp/Ifi206/Slc15a3/Ifi204/Mpeg1/Slamf8/App/Ch25h/Ly86/Ifi209/Slc11a1/Irf8/F830016B08Rik/Thy1/Lag3/Lyz2/Cd68/Cybb/Zbp1/Gfap/Oas1a/Myo1f/Ifi207/C3ar1/Cd84/Tlr2/Itgb2/Lpar5/Cd14/Cnr2/Ptpn6/Fcgr2b/Abi3/Ctss/C1qb/Fcer1g/C1qc/Plaur/C1qa/Cd37/Laptm5/Casp4/Ptprc/Hk3/Ccl9/Trim30d/Vav1/Nlrc5/Oas2/Mx1/Slfn9/Naip6/Naip2/Plau/Fcgr3/Runx1/C5ar1/Bst2/H2-Q7/Serpina3n/Tlr13/Capg/Tlr1/Havcr2/Cyba/Tlr7/Cd86/Ticam2/Sp110/Plek/Naip5/Nlrp3/Fcgr1/Rab7b/Spi1/Btk/Rtp4/Ncf1/Irf7/Uba7/Grn/Alox5/Lox/Was/Cd9/Pik3ap1/Pld4/Lsp1/Csf1r/Trim30a/Pik3cg/Ang/B2m/Cd74/Cebpa/Apobec1/Il1rl2
5xFAD	female	4 mo	BP	GO:0045087	innate immune response	113	0.5704261193807723	1.5110820681815451	1.3546575240280835e-5	0.0015152812018771277	0.0014239182094671133	242	tags=73%, list=41%, signal=54%	Mmp12/Clec7a/Ccl3/Ccl4/Ccl6/Ly9/Trim30b/Fgr/Oas3/Cd180/Trem2/Tyrobp/Ifi206/Slc15a3/Ifi204/Mpeg1/Slamf8/App/Ch25h/Ly86/Ifi209/Slc11a1/Irf8/Lag3/Cybb/Zbp1/Oas1a/Myo1f/Ifi207/Cd84/Tlr2/Cd14/Ptpn6/C1qb/Fcer1g/C1qc/C1qa/Casp4/Ccl9/Trim30d/Vav1/Nlrc5/Oas2/Mx1/Naip6/Naip2/Bst2/H2-Q7/Tlr13/Capg/Tlr1/Havcr2/Cyba/Tlr7/Ticam2/Sp110/Naip5/Nlrp3/Fcgr1/Rab7b/Spi1/Btk/Ncf1/Irf7/Grn/Was/Pld4/Csf1r/Trim30a/Ang/B2m/Cd74/Il1rl2/Clec5a/Elf4/Fes/Cxcl16/Rigi/Irf5/C3/Hck/H2-Ab1/Unc93b1
5xFAD	female	4 mo	BP	GO:0002682	regulation of immune system process	167	0.5330207467321744	1.433226157804805	1.6336291459840496e-5	0.0017055088284073478	0.0016026761726917202	245	tags=63%, list=42%, signal=52%	Cst7/Mmp12/Clec7a/Pdcd1/Ccl3/Cd22/Psen1/Lilrb4a/Fgr/H2-Oa/Oas3/Cd48/Cd180/Trem2/Tyrobp/Ifi206/Slc15a3/Ifi204/Slamf8/App/Ifi209/Slc11a1/Thy1/Lag3/Cd68/Zbp1/H2-Ob/Rasal3/Oas1a/Myo1f/Ifi207/C3ar1/Cd84/Tlr2/Itgb2/Cd14/Cnr2/Ptpn6/Fcgr2b/Csf3r/C4b/C1qb/Lat2/Fcer1g/C1qc/C1qa/Klhl6/Cd37/Laptm5/Casp4/Ptprc/Trim30d/Vav1/Nlrc5/Samsn1/Fcgr3/Runx1/C5ar1/Bst2/H2-Q7/Tlr13/Hcls1/Tlr1/Havcr2/Cyba/Tlr7/Cd86/Nlrp3/Fcgr1/Rab7b/Spi1/Btk/Ncf1/H2-Q6/Irf7/Rac2/H2-DMb1/Grn/Nckap1l/Lox/Was/Cd9/Pik3ap1/Csf1r/Trim30a/Dock8/B2m/Cd74/Cebpa/Il1rl2/Ikzf1/Lcp2/Aif1/Gpr183/Fes/Fyb/H2-Q4/Gpnmb/Rigi/C3/Ctsh/H2-Ab1/Tgfb1/Unc93b1/Inpp5d/Vsir
5xFAD	female	4 mo	BP	GO:0002253	activation of immune response	39	0.6746728505681736	1.674082702388359	3.9608507714790157e-5	0.0038766826925850867	0.0036429403806103053	109	tags=64%, list=18%, signal=56%	Clec7a/Cd22/Psen1/Lilrb4a/Trem2/Tyrobp/Ifi206/Ifi204/Ifi209/Thy1/Zbp1/Ifi207/C3ar1/Tlr2/Ptpn6/C4b/C1qb/Lat2/Fcer1g/C1qc/C1qa/Klhl6/Laptm5/Ptprc/Trim30d
5xFAD	female	4 mo	BP	GO:0050776	regulation of immune response	119	0.5481150096279774	1.4558419211283626	5.079400223354632e-5	0.004679023970454914	0.004396904961145372	245	tags=71%, list=42%, signal=52%	Mmp12/Clec7a/Pdcd1/Cd22/Psen1/Lilrb4a/Fgr/Oas3/Cd48/Cd180/Trem2/Tyrobp/Ifi206/Slc15a3/Ifi204/Slamf8/App/Ifi209/Slc11a1/Thy1/Lag3/Zbp1/Oas1a/Myo1f/Ifi207/C3ar1/Cd84/Tlr2/Itgb2/Cd14/Ptpn6/Fcgr2b/C4b/C1qb/Lat2/Fcer1g/C1qc/C1qa/Klhl6/Cd37/Laptm5/Ptprc/Trim30d/Vav1/Nlrc5/Samsn1/Fcgr3/C5ar1/H2-Q7/Tlr13/Tlr1/Havcr2/Cyba/Tlr7/Cd86/Nlrp3/Fcgr1/Rab7b/Spi1/Btk/Ncf1/H2-Q6/Irf7/Rac2/H2-DMb1/Grn/Nckap1l/Was/Pik3ap1/Trim30a/B2m/Cd74/Lcp2/Fes/Fyb/H2-Q4/Rigi/C3/Ctsh/H2-Ab1/Tgfb1/Unc93b1/Inpp5d/Vsir
5xFAD	female	4 mo	BP	GO:0002683	negative regulation of immune system process	66	0.5936656394688862	1.5297533931827316	1.8251517062147082e-4	0.01587881984406796	0.014921415703439543	125	tags=48%, list=21%, signal=43%	Cst7/Mmp12/Pdcd1/Cd22/Lilrb4a/Fgr/H2-Oa/Oas3/Trem2/Tyrobp/Ifi206/Ifi204/Slamf8/Thy1/Lag3/Cd68/H2-Ob/Oas1a/Ifi207/Cd84/Cnr2/Ptpn6/Fcgr2b/Fcer1g/C1qc/Cd37/Laptm5/Ptprc/Nlrc5/Samsn1/Runx1/Bst2
5xFAD	female	4 mo	BP	GO:0001819	positive regulation of cytokine production	73	0.5739689325428661	1.491890624621204	2.029203442244663e-4	0.016724908371342852	0.015716489818604094	165	tags=55%, list=28%, signal=45%	Mmp12/Clec7a/Ccl3/Ccl4/Ly9/Psen1/Osm/Fgr/Oas3/Serpinf2/Trem2/Tyrobp/Ifi206/Ifi204/App/Slc11a1/Irf8/Oas1a/Ifi207/C3ar1/Cd84/Tlr2/Cd14/Fcer1g/Laptm5/Casp4/Ptprc/Oas2/Fcgr3/Runx1/C5ar1/Cd300c2/Tlr1/Havcr2/Cyba/Tlr7/Ticam2/Naip5/Nlrp3/Rab7b
5xFAD	female	4 mo	BP	GO:0032760	positive regulation of tumor necrosis factor production	29	0.673044557177855	1.621215239017072	2.285449795386162e-4	0.01704292561702252	0.01601533240075115	142	tags=62%, list=24%, signal=50%	Clec7a/Ccl3/Ccl4/Psen1/Oas3/Tyrobp/App/Oas1a/Cd84/Tlr2/Cd14/Fcer1g/Ptprc/Oas2/Fcgr3/Tlr1/Havcr2/Cyba
5xFAD	female	4 mo	BP	GO:1903557	positive regulation of tumor necrosis factor superfamily cytokine production	29	0.673044557177855	1.621215239017072	2.285449795386162e-4	0.01704292561702252	0.01601533240075115	142	tags=62%, list=24%, signal=50%	Clec7a/Ccl3/Ccl4/Psen1/Oas3/Tyrobp/App/Oas1a/Cd84/Tlr2/Cd14/Fcer1g/Ptprc/Oas2/Fcgr3/Tlr1/Havcr2/Cyba
5xFAD	female	4 mo	BP	GO:0051336	regulation of hydrolase activity	67	0.5766024162174581	1.4896060169659993	3.850604062416447e-4	0.027409299826109804	0.025756672149560733	162	tags=48%, list=27%, signal=39%	Cst7/Ccl3/Ccl4/Ccl6/Gpr65/Rgs1/Oas3/Serpinf2/Ifi206/Ifi204/App/Thy1/Rasal3/Oas1a/Ifi207/Plaur/Laptm5/Ptprc/Ccl9/Vav1/Oas2/Naip6/Naip2/Spint1/Serpina3n/Cd86/Arhgap9/Ctsd/Plek/Naip5/Arhgap45/Nlrp3
5xFAD	female	4 mo	BP	GO:0048584	positive regulation of response to stimulus	172	0.5093961373407434	1.371010014037159	4.900033517362535e-4	0.03336283690517274	0.03135124419804496	207	tags=51%, list=35%, signal=46%	Mmp12/Clec7a/Ccl3/Ccl4/Ccl6/Gpr65/Trim30b/Cd22/Psen1/Lilrb4a/Osm/Fgr/Cd180/Serpinf2/Trem2/Tyrobp/Ifi206/Slc15a3/Ifi204/App/Ly86/Ifi209/Slc11a1/Thy1/Lag3/Zbp1/Ifi207/C3ar1/Cd84/Tlr2/Iqgap3/Itgb2/Cd14/Ptpn6/Fcgr2b/Ctss/C4b/C1qb/Lat2/Fcer1g/C1qc/Plaur/C1qa/Klhl6/Laptm5/Casp4/Ptprc/Ccl9/Trim30d/Vav1/Nlrc5/Naip6/Naip2/Plau/P2ry6/Fcgr3/C5ar1/H2-Q7/Hcls1/Tlr1/Havcr2/Cyba/Tlr7/Cd86/Ticam2/Siglec1/Dock2/Naip5/Nlrp3/Fcgr1/Spi1/Btk/H2-Q6/Irf7/Rac2/H2-DMb1/Grn/Nckap1l/Was/Pik3ap1/Hhex/Csf1r/Trim30a/Pik3cg/B2m/Cd74/Cebpa
5xFAD	female	4 mo	BP	GO:0002684	positive regulation of immune system process	115	0.5230105132697092	1.3876629730819925	5.632728866619748e-4	0.03675355585469386	0.034537521734800035	245	tags=68%, list=42%, signal=49%	Mmp12/Clec7a/Ccl3/Cd22/Psen1/Lilrb4a/Fgr/H2-Oa/Trem2/Tyrobp/Ifi206/Ifi204/App/Ifi209/Slc11a1/Thy1/Lag3/Zbp1/H2-Ob/Rasal3/Myo1f/Ifi207/C3ar1/Cd84/Tlr2/Itgb2/Ptpn6/C4b/C1qb/Lat2/Fcer1g/C1qc/C1qa/Klhl6/Cd37/Laptm5/Casp4/Ptprc/Trim30d/Vav1/Nlrc5/Fcgr3/Runx1/C5ar1/H2-Q7/Hcls1/Havcr2/Tlr7/Cd86/Nlrp3/Fcgr1/Spi1/Btk/H2-Q6/Irf7/Rac2/H2-DMb1/Nckap1l/Csf1r/Trim30a/Dock8/B2m/Cd74/Cebpa/Il1rl2/Ikzf1/Lcp2/Aif1/Gpr183/Fes/Fyb/H2-Q4/Rigi/C3/H2-Ab1/Tgfb1/Inpp5d/Vsir
