Study	Tissue	dir	ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
MAYO	CBE	ora_up	BP	GO:0051276	chromosome organization	118/2288	474/13000	2.956495560847667e-5	0.01426208806509511	0.01328376063953989	HSP90AA1/GEM/MCM8/CENPF/SMC4/RECQL/INCENP/APC/HSP90AB1/STAG1/TEX15/SGO2/RECQL4/ATRX/SMC2/DUSP1/MYC/CHD3/PSMC3IP/SP100/PURA/CCT5/SMC3/CCT4/ACTR8/CDCA5/DPF1/GNL3L/EID3/TWNK/FBXO5/CUL3/CHD9/ZMPSTE24/TPR/TCP1/CHMP3/DDX3X/CTNNB1/SMC1A/STN1/CHAMP1/PARP1/ACTL6A/HUS1/PRKDC/BECN1/CDC26/CHTF8/MSH2/SMARCB1/NAA50/TFIP11/NCAPH2/DCP2/STAG2/PHF13/XRCC6/WAPL/CHD6/ZNF830/CHMP5/TOP1MT/TFPT/NIPBL/LIG4/WRN/RAD50/ESCO1/MPHOSPH8/SETX/NUP62/RFC1/PPHLN1/PARP3/HAT1/RAN/DPF3/NFRKB/SMARCA2/SMG1/TRIM28/RAD21/HMGA1/CENPV/CTCF/CENPC/NDC1/PTGES3/DHX9/RB1/CTC1/NAF1/XRCC5/G3BP1/CCT3/LDB1/NCAPD3/ZNF304/BAZ1B/CCT6A/AKAP8/PDS5B/NABP2/KAT5/DCLRE1C/NBN/SMARCC2/ZW10/TOP1/MCPH1/YY1/GNL3/USP7/DDX1/ERCC2/KPNB1/BOD1	118
MAYO	CBE	ora_up	BP	GO:0072594	establishment of protein localization to organelle	103/2288	403/13000	3.0323362292902432e-5	0.01426208806509511	0.01328376063953989	HSP90AA1/HSPA8/RAC2/PTGS2/HSPA1L/DNAJA1/CDKN1A/HSP90AB1/RANBP6/NFKBIA/BAG3/LRWD1/BCL3/RANBP2/LAPTM5/ANGPT1/ECT2/RAB23/HSPA4/CACNG2/SNAP25-AS1/CCT5/HSPA5/CCT4/KPNA6/FLNA/TSPAN17/MED1/TGFB1/ELAVL1/SORT1/SGTB/TIMM8A/SPIDR/AP3M1/VPS37D/TPR/TCP1/SQSTM1/NEDD4/TIMM8B/HK1/NEURL1B/PEX12/ING1/MOAP1/KPNA2/NOLC1/SNUPN/BECN1/TSPO/PINK1/GET4/CSE1L/HTRA2/M6PR/PEX13/UBL4A/IPO7/TARDBP/NIPBL/STAT3/MON1B/IPO11/NUP62/RAN/TRIM28/NMT1/SMURF1/AKIRIN2/GRPEL1/CHCHD4/NUP153/FAM53C/NPEPPS/CCT3/SAE1/TOMM40/GCC2/TIMM10B/CCT6A/VPS41/NABP2/PIK3R1/ARIH2/JAK2/SRP68/VPS13D/RAB10/RAB3GAP2/NUP50/UBAP1/RAB8B/APPL1/MAPK14/NUP88/AKT1/KPNA3/NCOA4/IPO5/SEC63/KPNB1/MFN2	103
MAYO	CBE	ora_up	BP	GO:0061756	leukocyte adhesion to vascular endothelial cell	17/2288	36/13000	4.034502028634088e-5	0.016558285261290065	0.015422447050408928	ITGB2/KLF4/ALOX5/SPN/NFAT5/CHST2/PTAFR/ETS1/FUT9/GCNT1/ITGB1/IRAK1/RELA/ADD2/TRAF6/ROCK1/RHOA	17
MAYO	CBE	ora_up	BP	GO:0034502	protein localization to chromosome	30/2288	83/13000	4.1219475409141077e-5	0.016558285261290065	0.015422447050408928	MCM8/LRWD1/ATRX/CCT5/CCT4/CDCA5/GNL3L/SPIDR/TCP1/RCC2/SETD2/CHAMP1/MSH2/WAPL/NIPBL/VCPIP1/PPHLN1/PARP3/VCP/XRCC4/RAD21/CTCF/RB1/XRCC5/CCT3/CCT6A/NABP2/ZW10/GNL3/BOD1	30
MAYO	CBE	ora_up	BP	GO:0006913	nucleocytoplasmic transport	79/2288	295/13000	4.694056771450054e-5	0.016558285261290065	0.015422447050408928	HSP90AA1/RANBP3L/PTGS2/CDKN1A/HSP90AB1/RANBP6/NFKBIA/BAG3/RGS14/BCL3/RANBP2/ANGPT1/ECT2/RAB23/PPP1R12A/SP100/PPM1A/MCM3AP/UPF2/NEMF/KPNA6/FLNA/MED1/CAMK1/TGFB1/ELAVL1/NOP9/TPR/CPSF6/SQSTM1/NEDD4/CALR/SETD2/SDAD1/ING1/KPNA2/NOLC1/SNUPN/CSE1L/DUSP16/NXF1/IPO7/TARDBP/AXIN1/RANGAP1/RSRC1/STAT3/FYTTD1/IPO11/NUP62/RAN/SMG1/TRIM28/AHCTF1/RANBP1/SMURF1/AKIRIN2/POLDIP3/NDC1/FBXO22/DHX9/NUP153/DNAJC27/FAM53C/XPOT/PHAX/PIK3R1/JAK2/NUP50/NMD3/APPL1/ALKBH5/MAPK14/NUP88/AKT1/KPNA3/IPO5/XPO7/KPNB1	79
MAYO	CBE	ora_up	BP	GO:0051169	nuclear transport	79/2288	295/13000	4.694056771450054e-5	0.016558285261290065	0.015422447050408928	HSP90AA1/RANBP3L/PTGS2/CDKN1A/HSP90AB1/RANBP6/NFKBIA/BAG3/RGS14/BCL3/RANBP2/ANGPT1/ECT2/RAB23/PPP1R12A/SP100/PPM1A/MCM3AP/UPF2/NEMF/KPNA6/FLNA/MED1/CAMK1/TGFB1/ELAVL1/NOP9/TPR/CPSF6/SQSTM1/NEDD4/CALR/SETD2/SDAD1/ING1/KPNA2/NOLC1/SNUPN/CSE1L/DUSP16/NXF1/IPO7/TARDBP/AXIN1/RANGAP1/RSRC1/STAT3/FYTTD1/IPO11/NUP62/RAN/SMG1/TRIM28/AHCTF1/RANBP1/SMURF1/AKIRIN2/POLDIP3/NDC1/FBXO22/DHX9/NUP153/DNAJC27/FAM53C/XPOT/PHAX/PIK3R1/JAK2/NUP50/NMD3/APPL1/ALKBH5/MAPK14/NUP88/AKT1/KPNA3/IPO5/XPO7/KPNB1	79
MAYO	CBE	ora_up	BP	GO:0006606	protein import into nucleus	44/2288	143/13000	7.863433092351211e-5	0.025905915376058554	0.024128863700256707	HSP90AA1/PTGS2/CDKN1A/HSP90AB1/RANBP6/NFKBIA/BAG3/BCL3/RANBP2/ANGPT1/ECT2/RAB23/KPNA6/FLNA/MED1/TGFB1/ELAVL1/TPR/SQSTM1/ING1/KPNA2/NOLC1/SNUPN/CSE1L/IPO7/TARDBP/STAT3/IPO11/NUP62/RAN/TRIM28/AKIRIN2/NUP153/FAM53C/PIK3R1/JAK2/NUP50/APPL1/MAPK14/NUP88/AKT1/KPNA3/IPO5/KPNB1	44
MAYO	CBE	ora_up	BP	GO:0002200	somatic diversification of immune receptors	23/2288	59/13000	8.381930051708415e-5	0.025905915376058554	0.024128863700256707	PTPRC/TP53BP1/EXOSC3/MCM3AP/IL27RA/TGFB1/SAMHD1/PAXIP1/MSH6/PRKDC/DCAF1/MSH2/RNF8/LIG4/PARP3/XRCC4/RNF168/POLB/ADAR/DCLRE1C/NBN/YY1/CTNNBL1	23
MAYO	CBE	ora_up	BP	GO:0007249	I-kappaB kinase/NF-kappaB signaling	67/2288	245/13000	8.720984977765991e-5	0.025905915376058554	0.024128863700256707	S100A4/TLR7/MID2/TLR6/BST2/BIRC3/HSPB1/TRIM32/RORA/NFKBIA/TRIM5/TLR4/BCL3/TNIP2/ANGPT1/ECT2/RELB/F2R/PPM1A/PRKCB/TRIM22/ZNF675/FLNA/DDX21/CANT1/FADD/PRKCE/WLS/LIME1/REL/IKBKE/BIRC2/TRIM25/TIFA/LURAP1/SQSTM1/CTNNB1/TAB2/ASH1L/IRAK1/RELA/TRAF6/EEF1D/WDR83/PINK1/HACD3/OPTN/DHX15/ROCK1/JMJD8/IKBKB/DDRGK1/ROCK2/GAPDH/NUP62/PELI2/TRIM27/NKIRAS1/USP10/MTDH/AZI2/TRIM52/RHOA/MAP3K7/DDX1/AKT1/ZDHHC17	67
MAYO	CBE	ora_up	BP	GO:0007030	Golgi organization	42/2288	138/13000	1.4825579962987942e-4	0.04088660237407907	0.03808192999667105	PLK5/GOLGB1/TMED5/PRMT5/SYNE1/AKAP9/VTI1A/RAB29/YIPF5/HOOK1/PDE4DIP/ZFP69B/TRIP11/STX17/OPTN/RAB43/GOLPH3L/MAP2K1/RAB6B/USO1/CSNK1A1/TMED1/CSNK1D/VCPIP1/DYM/CAMSAP2/PDCD10/LYSMD3/BAG5/LMAN2/COG5/ATL2/GCC2/VTI1B/ARFGEF1/CUL7/ARHGEF7/RAB1A/GOLGA2/ZW10/BLZF1/TBC1D20	42
MAYO	CBE	ora_up	BP	GO:0016445	somatic diversification of immunoglobulins	20/2288	50/13000	1.5841139790159656e-4	0.04088660237407907	0.03808192999667105	PTPRC/TP53BP1/EXOSC3/MCM3AP/IL27RA/TGFB1/SAMHD1/PAXIP1/MSH6/PRKDC/MSH2/RNF8/LIG4/PARP3/XRCC4/RNF168/POLB/NBN/YY1/CTNNBL1	20
MAYO	CBE	ora_up	BP	GO:0051170	import into nucleus	44/2288	147/13000	1.593737158450991e-4	0.04088660237407907	0.03808192999667105	HSP90AA1/PTGS2/CDKN1A/HSP90AB1/RANBP6/NFKBIA/BAG3/BCL3/RANBP2/ANGPT1/ECT2/RAB23/KPNA6/FLNA/MED1/TGFB1/ELAVL1/TPR/SQSTM1/ING1/KPNA2/NOLC1/SNUPN/CSE1L/IPO7/TARDBP/STAT3/IPO11/NUP62/RAN/TRIM28/AKIRIN2/NUP153/FAM53C/PIK3R1/JAK2/NUP50/APPL1/MAPK14/NUP88/AKT1/KPNA3/IPO5/KPNB1	44
MAYO	CBE	ora_up	BP	GO:0070423	nucleotide-binding oligomerization domain containing signaling pathway	11/2288	20/13000	1.7240497800642812e-4	0.042306682429055664	0.039404597719180874	HSPA1A/BIRC3/NFKBIA/TLR4/MAP2K6/BIRC2/RELA/XIAP/ITCH/OTULIN/MAP3K7	11
MAYO	CBE	ora_up	BP	GO:1904951	positive regulation of establishment of protein localization	69/2288	261/13000	2.0870474501538777e-4	0.04685454879176409	0.04364049697229846	HSP90AA1/ADORA2A/RAC2/PTGS2/HSPA1L/ITGB2/HSP90AB1/TGFB2/TCAF2/NNAT/BAG3/ZDHHC2/TLR4/SOX4/ITGAM/ECT2/CCT5/P2RX7/PPM1A/CCT4/FLNA/RAB29/CAMK1/TGFB1/PRKCE/WLS/EZR/ABCG1/KCNB1/EXPH5/ACSL4/PRKCZ/KIF20B/ICE1/TPR/TCP1/GPLD1/GCK/CEP120/PINK1/CNST/HTRA2/GOLPH3L/MIEF1/OAZ1/TARDBP/CEP295/TM7SF3/RAN/HIF1A/TRIM28/NMT1/PDCD10/VPS35/ACSL3/TCAF1/VAMP2/NPEPPS/CCT3/SAE1/CCT6A/PIK3R1/ARIH2/JAK2/ARF6/MAPK14/IPO5/OAZ2/TMEM30A	69
MAYO	CBE	ora_up	BP	GO:0140014	mitotic nuclear division	70/2288	266/13000	2.182908681406108e-4	0.04685454879176409	0.04364049697229846	HSPA1A/CENPF/SMC4/INCENP/APC/STAG1/KIF15/KIF2A/SGO2/SPHK1/PDXP/ATRX/RCC1/SMC2/DUSP1/PRMT5/SMC3/CHEK2/SPICE1/FLNA/CDCA5/DPF1/FBXO5/KIF20B/CUL3/TOM1L1/PPP2R2D/TPR/CHMP3/PKMYT1/SMC1A/CHAMP1/ACTL6A/BECN1/CDKN1B/CDC26/CHTF8/EPS8/SMARCB1/NAA50/NCAPH2/STAG2/PHF13/CHMP5/REEP4/NIPBL/ESCO1/UBE2S/NUP62/RAN/DPF3/SMARCA2/RAD21/RANBP1/CCSAP/CENPC/CEP97/RB1/RHOA/NCAPD3/BAZ1B/AKAP8/PDS5B/KAT5/CUL7/SMARCC2/GOLGA2/ZW10/KPNB1/BOD1	70
MAYO	CBE	ora_up	BP	GO:0090398	cellular senescence	29/2288	86/13000	2.25534058114614e-4	0.04685454879176409	0.04364049697229846	NUAK1/CDKN1A/CITED2/MAP2K6/ABI3/TBX2/ING2/B2M/MORC3/FBXO5/ZMPSTE24/CALR/VASH1/NEK4/ID2/CDKN1B/MAP2K4/MAP2K3/MAPK10/AKT3/MAP2K1/RSL1D1/WRN/NUP62/HMGA1/ZNF277/KAT5/ZMIZ1/MAPK14	29
MAYO	CBE	ora_up	BP	GO:0071897	DNA biosynthetic process	49/2288	171/13000	2.259050174369898e-4	0.04685454879176409	0.04364049697229846	HSP90AA1/HGF/CYP1B1/CENPF/KLF4/CDKN1A/HSP90AB1/SPHK1/NPPC/JADE2/MYC/ZBTB1/KCNK2/CCT5/BMPR2/CCT4/ACVRL1/GNL3L/REV1/POLG/TCP1/CTNNB1/USP1/STN1/PARP4/LIN9/POLD1/CHTF8/RRM1/CDKN2D/DCP2/POLE4/POLK/LIG4/WRN/RAD50/RFC1/PARP3/VCP/USP10/PTGES3/CTC1/NAF1/XRCC5/CCT3/ARRB2/CCT6A/RCHY1/POLB	49
MAYO	CBE	ora_up	BP	GO:0042113	B cell activation	55/2288	198/13000	2.3408867078750494e-4	0.04685454879176409	0.04364049697229846	PTPRC/FOXJ1/MNDA/SAMSN1/BST2/PLCL2/CD86/CDKN1A/SASH3/TP53BP1/TLR4/BCL3/SLAMF8/LAPTM5/ZFP36L1/DOCK11/TNIP2/CD300A/ZBTB1/EXOSC3/NFAM1/PRKCB/SH3KBP1/IL27RA/LAT2/TGFB1/PIK3CD/TCIRG1/PAXIP1/ITGB1/MSH6/PRKDC/ID2/DCAF1/KLF6/MSH2/SLC39A7/RNF8/PPP2R3C/PHF14/LIG4/ST3GAL1/BMI1/CEBPG/PARP3/SP3/AKIRIN2/ADAM17/RNF168/DNAJB9/PIK3R1/STAT5B/DCLRE1C/NBN/YY1	55
MAYO	CBE	ora_up	BP	GO:1903829	positive regulation of protein localization	95/2288	385/13000	2.407555054793259e-4	0.04685454879176409	0.04364049697229846	HSP90AA1/SLC5A3/ADORA2A/RAC2/PTGS2/HSPA1L/ITGB2/PECAM1/APC/HSP90AB1/PLS1/TGFB2/TCAF2/NNAT/BAG3/ZDHHC2/TLR4/RAMP3/EPHA2/SOX4/ITGAM/ECT2/DTX3L/CACNG2/CCT5/P2RX7/PPM1A/TMEM35A/CCT4/FLNA/RAB29/CAMK1/LIMK2/TGFB1/PRKCE/WLS/EZR/ABCG1/GNL3L/KCNB1/EXPH5/ACSL4/PRKCZ/KIF20B/ICE1/ATP2B4/TPR/TCP1/GPLD1/SQSTM1/GCK/ITGB1/PARP1/CEP120/PINK1/CNST/HTRA2/GOLPH3L/SYT11/MIEF1/OAZ1/DDRGK1/TARDBP/CEP295/ROCK2/NUP62/TM7SF3/RAN/HIF1A/TRIM28/RER1/NMT1/PDCD10/VPS35/ACSL3/TCAF1/VAMP2/NPEPPS/CCT3/SAE1/CCT6A/PIK3R1/ARIH2/JAK2/ARF6/MEPCE/NMD3/GNL3/MAPK14/SPTBN1/AKT1/RTN4/IPO5/OAZ2/TMEM30A	95
MAYO	CBE	ora_up	BP	GO:0032984	protein-containing complex disassembly	58/2288	212/13000	2.4904969237294874e-4	0.04685454879176409	0.04364049697229846	HSPA8/SPEF1/DDIT4/APC/VAMP8/PIK3CA/KIF2A/PDXP/TMOD1/MAP1B/CALM1/ADRB2/MYC/PLEK/SMCR8/SPTB/DNAJC6/MID1IP1/CKAP2/TMOD2/ZMPSTE24/CHMP3/UBQLN4/WDR1/CAPZA2/STX17/ADD2/BECN1/EPS8/FLII/CAMSAP1/SMARCB1/GSPT2/TFIP11/PHF23/MICAL3/ATG5/SNAP29/CHMP5/SYNJ1/TTBK2/MTRF1L/TAOK1/VTA1/SETX/VCP/CAMSAP2/RUBCN/MAP1LC3B/HMGA1/CCSAP/SET/DHX8/SSRP1/UBQLN1/SMARCC2/SPTBN1/ETF1	58
MAYO	CBE	ora_up	BP	GO:0002224	toll-like receptor signaling pathway	31/2288	95/13000	2.722670704323686e-4	0.04908982202533517	0.04572243858303626	TLR7/TLR1/PIK3AP1/TLR6/CTSS/BIRC3/TLR5/NFKBIA/TLR4/CYBA/LY96/TNIP2/CD300A/LRRC14/PRKCE/BIRC2/DDX3X/IRAK1/TRAF6/PJA2/LGR4/MFHAS1/GRAMD4/RAB11FIP2/WDFY1/MAP3K7/ARRB2/UBQLN1/PTPRS/APPL1/RTN4	31
MAYO	CBE	ora_up	BP	GO:0009190	cyclic nucleotide biosynthetic process	9/2288	15/13000	2.870241188582673e-4	0.04908982202533517	0.04572243858303626	NPPC/ADCY7/NPR1/AMPD2/GUCY1A2/ADCY3/NPR2/ADCY6/ADCY9	9
MAYO	CBE	ora_up	BP	GO:0052652	cyclic purine nucleotide metabolic process	9/2288	15/13000	2.870241188582673e-4	0.04908982202533517	0.04572243858303626	NPPC/ADCY7/NPR1/AMPD2/GUCY1A2/ADCY3/NPR2/ADCY6/ADCY9	9
MAYO	CBE	ora_up	BP	GO:0007064	mitotic sister chromatid cohesion	11/2288	21/13000	3.046101627716699e-4	0.04912056453380872	0.04575107226711939	ATRX/SMC3/CDCA5/SMC1A/CHTF8/NAA50/NIPBL/ESCO1/RB1/PDS5B/BOD1	11
MAYO	CBE	ora_up	BP	GO:0035872	nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway	11/2288	21/13000	3.046101627716699e-4	0.04912056453380872	0.04575107226711939	HSPA1A/BIRC3/NFKBIA/TLR4/MAP2K6/BIRC2/RELA/XIAP/ITCH/OTULIN/MAP3K7	11
MAYO	CBE	ora_up	CC	GO:0034774	secretory granule lumen	70/2363	256/13575	4.3234668990132835e-5	0.010257358206864376	0.009743831929498892	S100A9/S100A8/MMRN1/SRGN/SERPINA1/LYZ/HSP90AA1/HSPA8/HGF/HSPA6/F13A1/CHI3L1/CXCL1/SERPINE1/IMPDH1/MNDA/CRISPLD2/ALOX5/HSP90AB1/TGFB2/SELENOP/S100A11/DOCK2/CDA/CTSC/PNP/ISLR/FGR/TOR4A/GMFG/PSMD7/CANT1/C6orf120/TGFB1/B2M/C1orf35/CAT/DDX3X/PGM2/DNAJC3/HEBP2/ACLY/ARHGAP45/CAND1/PGAM1/PROS1/GRN/CAB39/ACTN1/ROCK1/FAM3C/XRCC6/PSMD2/STK11IP/CDC37L1/SCCPDH/GDI2/VCP/TUBB4B/ATG7/NEU1/ACTR2/XRCC5/APAF1/TOLLIP/IMPDH2/VTI1B/DYNC1H1/MAPK14/KPNB1	70
MAYO	CBE	ora_up	CC	GO:0005635	nuclear envelope	105/2363	422/13575	5.2681034468922446e-5	0.010257358206864376	0.009743831929498892	ALOX5AP/RANBP3L/RAC2/PTGS2/PLA2G4A/CENPF/NELL1/CYBB/KCNH1/IL15RA/ALOX5/CLIC1/PTGES/GABRB1/ITPRIP/FAM169A/ATP11B/MNS1/MYOF/RCC1/RANBP2/SLC52A3/RNF6/GRK5/ZBTB1/SYNE1/P2RX7/MCM3AP/TOR4A/GNAZ/ITPR3/RAP1GAP2/SORT1/ATF6/CEPT1/PRKCZ/SUN2/ZMPSTE24/BICD2/TPR/CACYBP/CHMP3/CALR/PHF20/DST/PARP1/SYNE2/KLHDC2/SNUPN/HACD3/CSE1L/PAFAH1B1/NRXN1/TOR1B/NXF1/TAF3/IPO7/CHMP5/LBR/RANGAP1/FBXW11/LRRC59/CDK4/DCTN1/IGF2R/GAPDH/TOR1A/AKAP6/SMPD4/IPO11/ITSN1/NUP62/TRIM27/RAN/SCRN1/OSBPL8/AHCTF1/DCTN5/RANBP1/MLX/MTDH/CENPV/NDC1/TMEM43/TXLNG/NUP153/RTCB/ENO1/XPOT/LMNB2/AKIRIN1/DNAJB14/WDR3/NUP50/UTP18/NUP88/KPNA3/RTN4/IPO5/UBXN4/XPO7/KPNB1/LEMD3/TBC1D20/BRAP	105
